timestamp,equity,profit_loss,profit_loss_pct,base_value,timeframe
2024-11-12 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-13 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-14 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-15 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-16 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-19 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-20 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-21 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-22 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-23 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-26 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-27 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-28 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-11-29 22:00:00,0.0,0.0,0.0,1000000.0,1D
2024-12-03 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-12-04 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-12-05 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-12-06 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-12-07 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-12-10 01:00:00,0.0,0.0,0.0,1000000.0,1D
2024-12-11 01:00:00,1000000.0,0.0,0.0,1000000.0,1D
